date,search_volume,Media_Saturation
2017-05-01,19,
2017-06-01,19,
2017-07-01,16,
2017-08-01,26,
2017-09-01,27,
2017-10-01,27,
2017-11-01,53,
2017-12-01,116,510.5263157894737
2018-01-01,67,252.6315789473684
2018-02-01,49,206.25
2018-03-01,28,7.692307692307687
2018-04-01,22,-18.518518518518523
2018-05-01,19,-29.629629629629626
2018-06-01,16,-69.81132075471699
2018-07-01,15,-87.06896551724138
2018-08-01,16,-76.11940298507463
2018-09-01,15,-69.38775510204081
2018-10-01,13,-53.57142857142857
2018-11-01,17,-22.72727272727273
2018-12-01,17,-10.526315789473683
2019-01-01,12,-25.0
2019-02-01,12,-19.999999999999996
2019-03-01,11,-31.25
2019-04-01,15,0.0
2019-05-01,21,61.53846153846154
2019-06-01,26,52.941176470588225
2019-07-01,23,35.29411764705883
2019-08-01,31,158.33333333333334
2019-09-01,94,683.3333333333333
2019-10-01,15,36.36363636363635
2019-11-01,14,-6.666666666666665
2019-12-01,14,-33.333333333333336
2020-01-01,17,-34.61538461538461
2020-02-01,18,-21.739130434782606
2020-03-01,24,-22.580645161290324
2020-04-01,20,-78.72340425531915
2020-05-01,25,66.66666666666667
2020-06-01,18,28.57142857142858
2020-07-01,18,28.57142857142858
2020-08-01,20,17.647058823529417
2020-09-01,16,-11.111111111111116
2020-10-01,17,-29.166666666666664
2020-11-01,30,50.0
2020-12-01,38,52.0
2021-01-01,78,333.3333333333333
2021-02-01,81,350.0
2021-03-01,59,195.00000000000003
2021-04-01,62,287.5
2021-05-01,79,364.7058823529412
2021-06-01,57,89.99999999999999
2021-07-01,39,2.6315789473684292
2021-08-01,38,-51.28205128205128
2021-09-01,38,-53.086419753086425
2021-10-01,46,-22.033898305084744
2021-11-01,42,-32.25806451612904
2021-12-01,41,-48.10126582278481
2022-01-01,52,-8.771929824561408
2022-02-01,46,17.948717948717952
2022-03-01,39,2.6315789473684292
2022-04-01,31,-18.42105263157895
2022-05-01,46,0.0
2022-06-01,52,23.809523809523814
2022-07-01,37,-9.756097560975608
2022-08-01,28,-46.15384615384615
2022-09-01,27,-41.30434782608695
2022-10-01,23,-41.02564102564102
2022-11-01,33,6.451612903225801
2022-12-01,23,-50.0
2023-01-01,27,-48.07692307692307
2023-02-01,26,-29.729729729729726
2023-03-01,31,10.71428571428572
2023-04-01,27,0.0
2023-05-01,24,4.347826086956519
2023-06-01,24,-27.27272727272727
2023-07-01,24,4.347826086956519
2023-08-01,23,-14.814814814814813
2023-09-01,20,-23.076923076923073
2023-10-01,24,-22.580645161290324
2023-11-01,27,0.0
2023-12-01,33,37.5
2024-01-01,37,54.16666666666667
2024-02-01,35,45.83333333333333
2024-03-01,58,152.17391304347828
2024-04-01,43,114.99999999999999
2024-05-01,30,25.0
2024-06-01,27,0.0
2024-07-01,30,-9.090909090909093
2024-08-01,31,-16.216216216216218
2024-09-01,26,-25.71428571428571
2024-10-01,25,-56.896551724137936
2024-11-01,63,46.51162790697674
2024-12-01,56,86.66666666666667
2025-01-01,43,59.25925925925925
2025-02-01,38,26.66666666666666
2025-03-01,37,19.354838709677423
2025-04-01,33,26.923076923076916
2025-05-01,32,28.000000000000004
2025-06-01,28,-55.55555555555556
2025-07-01,35,-37.5
2025-08-01,52,20.93023255813953
2025-09-01,37,-2.631578947368418
2025-10-01,45,21.62162162162162
2025-11-01,52,57.57575757575757
2025-12-01,40,25.0
2026-01-01,35,25.0
2026-02-01,59,68.57142857142857
2026-03-01,39,-25.0
